layout_id_referencia,nome_layout_referencia,tipo_arquivo,ativo_rastreabilidade,limiar_auto,limiar_sugestao,palavras_chave_fortes,palavras_chave_apoio,observacoes_rastreabilidade
1,DAISO Excel Padrao,EXCEL,1,75,55,DAISO,MATRICULA|SKU|QTD|QUANTIDADE|PEDIDO|ENTREGA|DATA|EXCEL,Rastreabilidade para Excel padrao semelhante ao DAISO.
2,TISCHLER PDF,PDF,1,75,55,TISCHLER,CNPJ|PEDIDO|CODIGO DE BARRAS|BARCODE|SKU|QUANTIDADE|ENTREGA|PDF,Rastreabilidade para PDF semelhante ao Tischler.
3,ALABARCE PDF,PDF,1,75,55,ALABARCE,CNPJ|PEDIDO|REF|REFERENCIA|QTDE|QTD|PRODUTO|LOJA|PDF,Rastreabilidade para PDF tabular multi-lojas semelhante ao Alabarce.
4,BAKLIZI PDF,PDF,1,75,55,BAKLIZI,TOTVS|PEDIDO DE COMPRA|COD FORN|COD.FORN|QTDE|QTD.CANC|PREVISAO|FORNECEDOR|CNPJ,Rastreabilidade para PDF TOTVS semelhante ao Baklizi.
5,MILLER PDF,PDF,1,80,58,MILLER,REFERENCIA|EAN|CODIGO BARRAS|CNPJ|PEDIDO|QTDE|ENTREGA|PDF,Rastreabilidade para PDF Miller. Sem conversao unidade-caixa nesta fase.
6,COOPERCICA PDF,PDF,1,75,55,COOPERCICA,TOTVS|PEDIDO DE COMPRA|COD FORN|QTDE|FD|CX|UN|CNPJ|FORNECEDOR,"Rastreabilidade para PDF TOTVS semelhante ao Coopercica, com conferencia obrigatoria."
7,DROGA CLARA PDF,PDF,1,90,60,DROGA CLARA|14169897|DROGARIA,CNPJ|FILIAL|CODIGO|DESCRICAO|FABRICANTE|PRODUTO|QTD|PEDIDO|LOJA|ENTREGA|RELATORIO DE PEDIDO DE COMPRAS,Rastreabilidade reforçada para PDF Droga Clara; assinatura forte por raiz CNPJ 14169897 e relatório de pedido de compras.
9,BARRACAO PDF,PDF,1,75,55,BARRACAO|BARRACÃO,CNPJ|PEDIDO|COD FORN|QTDE EMB|EMB|PRODUTO|LOJA|PDF,Rastreabilidade para PDF semelhante ao Barracao.
10,GALASSI PDF,PDF,1,75,55,GALASSI,CNPJ|PEDIDO|REFERENCIA|QTDE|PRODUTO|CLIENTE|FORNECEDOR|PDF,Rastreabilidade para PDF multi-clientes semelhante ao Galassi.
11,SEMPRE VALE PDF,PDF,1,82,60,SEMPRE VALE,CNPJ|PEDIDO|COD FORN|QTDE|PRODUTO|CLIENTE|DATA REMESSA|PDF,Rastreabilidade para Sempre Vale; exige data remessa manual se aplicado.
12,FESTIVAL PDF,PDF,1,75,55,FESTIVAL,TOTVS|PEDIDO DE COMPRA|COD FORN|QTDE|QTD.CANC|PREVISAO DE ENTREGA|CNPJ|FORNECEDOR,Rastreabilidade para PDF semelhante ao Festival.
13,BOZZA PDF,PDF,1,75,55,BOZZA|BOZA|SUPERMERCADO BOZA|SUPERMERCADO BOZZA|LINKERP,CNPJ|CNPJ/CPF|PEDIDO|NUMERO PEDIDO|DADOS ENTREGA|CODIGO CODIGO CODIGO|DESCRICAO|QTDE|QTDE EMB|VALOR PEDIDO|PDF,Rastreabilidade forte para Bozza/Boza LinkERP; assinatura dedicada no código tem prioridade sobre Maby e layouts genéricos.
14,MONACO PDF,PDF,1,75,55,MONACO|MÔNACO,CNPJ|PEDIDO|COD FORN|QTDE EMB|PRODUTO|PDF,Rastreabilidade para PDF Monaco.
15,DAHER PDF,PDF,1,75,55,DAHER,CNPJ|PEDIDO|REF|REFERENCIA|QTD|PRODUTO|PDF,Rastreabilidade para PDF Daher.
16,PRIMATO PDF,PDF,1,75,55,PRIMATO,CNPJ|PEDIDO|SKU|QTD|PRODUTO|PDF,Rastreabilidade para PDF Primato.
17,SUPERLAR PDF,PDF,1,75,55,SUPERLAR,CNPJ|PEDIDO|SKU|QTD|PRODUTO|PDF,Rastreabilidade para PDF Superlar.
18,INDIANA PDF,PDF,1,75,55,INDIANA,CNPJ|PEDIDO|SKU|QTD|PRODUTO|PDF,Rastreabilidade para PDF Indiana.
19,KACULA PDF,PDF,1,75,55,KACULA|KAÇULA,CNPJ|PEDIDO|SKU|QTD|PRODUTO|PDF,Rastreabilidade para PDF Kacula.
20,REDE VIP Excel Matricial,EXCEL,1,75,55,REDE VIP|VIP|COCA,MATRICULA|SKU|QTD|QUANTIDADE|MATRIZ|EXCEL|AEROPORTO|ALICAR|ANITA|BRINO|BELA VISTA|INTERCAP|MOINHOS|PASQUALINI|RAMIRO,Rastreabilidade para Excel matricial semelhante a Rede VIP/Coca.
21,MANO DOCES Excel Matricial,EXCEL,1,75,55,MANO DOCES|MANOS DOCES,MATRICULA|SKU|QTD|QUANTIDADE|MATRIZ|EXCEL,Rastreabilidade para Excel matricial semelhante a Mano Doces.
22,BUFFON Excel Matricial,EXCEL,1,75,55,BUFFON,MATRICULA|SKU|QTD|QUANTIDADE|MATRIZ|EXCEL,Rastreabilidade para Excel matricial semelhante a Buffon.
23,COELHO DINIZ Excel Pedido + Datas,EXCEL,1,82,60,COELHO DINIZ,COD FAB|SKU|MATRICULA|DATA|ENTREGA|EXCEL|PEDIDO,Rastreabilidade para Coelho Diniz; exige par de arquivos.
8,REDE ITALO PDF,PDF,1,82,60,REDE ITALO|ITALO,CONVERSAO|UNIDADE|QUANT_CONVERTIDA|MAPA PRODUTOS,Rede Italo ativada: conversao unidade-caixaria com base prioritária e fallback mapa; Excel de validação obrigatório.
24,PASSARELA CENTER PDF Homologacao OCR,PDF,1,80,55,PASSARELA|PASSARELA CENTER|CENTER,CNPJ|PEDIDO|SKU|QTD|PRODUTO|OCR|IMAGEM|PDF|LOJA|ENTREGA,Rede candidata sem conversao unidade-caixa. Aplica parser generico/OCR em modo homologacao e exige conferencia manual.
25,MAX CENTER PDF Alias Superlar,PDF,1,78,55,MAX CENTER|MAXCENTER,SUPERLAR|CNPJ|PEDIDO|SKU|QTD|PRODUTO|LOJA|PDF,Alias controlado do Superlar com fallback generico; sem conversao unidade-caixa; conferencia manual obrigatoria.
26,MABY SUPERMERCADOS PDF Homologacao,PDF,1,95,70,MABY SUPERMERCADOS|PEDIDOS DE COMPRA|CNPJ DA EMPRESA|GTIN|SPAL IND BRAS BEBIDAS|11169,EMPRESA DO PEDIDO|NUMERO DO PEDIDO|PREVISAO DE ENTREGA|CODIGO GTIN DESCRICAO|QUANTI|VALOR CX|QTD BONIF|VALOR TOTAL|MABY|SUPERMERCADOS,Rastreabilidade reforçada Maby/SPAL. Produto do modelo é EAN/GTIN; código interno da primeira coluna fica apenas em auditoria. Sem conversão unidade-caixa.
27,GRUPO E.M.O.P. / PARTEKA PDF Homologacao,PDF,1,80,55,EMOP|E M O P|GRUPO EMOP|GRUPO E M O P|PARTEKA|GRUPO PARTEKA,CNPJ|PEDIDO|SKU|EAN|QTD|QTDE|QUANTIDADE|PRODUTO|LOJA|PDF|FORNECEDOR,Rede EMOP/Parteka em homologação controlada; sem regra de conversão; gera Excel de validação obrigatório e exige conferência manual.
28,BELTRAME PDF Homologacao EAN SKU,PDF,1,80,55,BELTRAME,CNPJ|PEDIDO|EAN|SKU|CODIGO BARRAS|QTD|PRODUTO|PDF,Rede candidata sem conversao unidade-caixa. Permite EAN/SKU direto sem dividir quantidade; conferir amostra para homologacao.
29,RASTREABILIDADE PDF Homologacao Generica,PDF,1,99,1,RASTREABILIDADE|HOMOLOGACAO|GENERICA,CNPJ|PEDIDO|SKU|QTD|QTDE|QUANTIDADE|PRODUTO|FORNECEDOR|LOJA|PDF|ENTREGA,Fallback manual/generico para PDF quando nenhum layout parecido atingiu confiança segura. Gera Excel de validação obrigatório e não homologa rede automaticamente.
30,RASTREABILIDADE EXCEL Homologacao Generica,EXCEL,1,99,1,RASTREABILIDADE|HOMOLOGACAO|GENERICA,MATRICULA|CNPJ|PEDIDO|SKU|QTD|QTDE|QUANTIDADE|EAN|PRODUTO|DESCRICAO|EXCEL|ENTREGA,Fallback manual/generico para Excel quando nenhum layout parecido atingiu confiança segura. Gera Excel de validação obrigatório e não homologa rede automaticamente.
31,SUPERMAIS PDF,PDF,1,82,60,SUPERMAIS|SUPER MAIS|SUPERMERCADO VIEIRAO|REDE SUPER MAIS,ORDEM DE COMPRA|CODIGO FORNECED|PEDIDO EMBAL|PEDIDO UNID|CNPJ|FORNECEDOR|PRODUTO,Rastreabilidade Supermais com parser dedicado; usa Codigo Forneced e Pedido Embal; sem conversao unidade-caixa.
32,PANELAO PDF,PDF,1,82,60,PANELAO|SUPERMERCADO VIEIRA DIAS,PEDIDO DE COMPRA|REF|QTDE COMPRA|QTDE TOTAL|PAGINA|FORNECEDOR|CNPJ|EAN,Rastreabilidade Panelao com parser dedicado e leitura multi-paginas; usa REF e QTDE COMPRA; sem conversao unidade-caixa.
33,CAITA PDF,PDF,1,82,60,CAITA|ZA SUPERMERCADOS|CAITA SUPERMERCADOS,PEDIDOS DE COMPRA|NUMERO DO PEDIDO|REFERENCIA|QUANT CAIXA|QUANT PEDIDA|FORNECEDOR|CNPJ|GTIN,Rastreabilidade Caita com parser dedicado; usa Referencia e Quant Caixa; sem conversao unidade-caixa.
34,REDE ESTRELA PDF,PDF,1,82,60,ESTRELA|SUPERMERCADO ESTRELA|RELPEDSUPRIM,PEDIDO DE COMPRAS|DADOS PARA FATURAMENTO|COD FORN|QTDE|EANs|TOTVS,Rastreabilidade Estrela TOTVS; SKU=Cod Forn; Qtde já em caixaria.
35,TESTE REDE ALFA PDF Conversao,PDF,1,90,65,REDE ALFA|ALFA,CNPJ|PEDIDO|EAN|SKU|QTD|QUANTIDADE|UNIDADE|PRODUTO,TESTE com conversao; exige conferência manual.
36,TESTE PONTO CERTO PDF Conversao,PDF,1,90,65,PONTO CERTO,CNPJ|PEDIDO|EAN|SKU|QTD|QUANTIDADE|UNIDADE|PRODUTO,TESTE com conversao; exige conferência manual.
37,TESTE SUPER UBIALLI PDF Conversao,PDF,1,90,65,SUPER UBIALLI|UBIALLI,CNPJ|PEDIDO|EAN|SKU|QTD|QUANTIDADE|UNIDADE|PRODUTO,TESTE com conversao; exige conferência manual.
38,REDE CELEIRO PDF Conversao,PDF,1,86,62,REDE CELEIRO|CELEIRO,CNPJ|PEDIDO|EAN|SKU|QTD|QUANTIDADE|UNIDADE|CENTRO|PRODUTO,Celeiro com conversao e centro de referência Chapecó/BFDZ; validar fator por item no Excel.
39,REDE COASUL PDF Conversao,PDF,1,86,62,COASUL|ORDEM DE COMPRA|SUPERMERCADO|DADOS PARA FATURAMENTO,COD. BARRAS|ITEM|PRODUTO|EMBAL|QTDE|UNITARIO|VLR TOTAL|ORDEM Nº|CNPJ,Reconhecimento Coasul por cabeçalho Ordem de Compra e tabela COD. BARRAS/PRODUTO/EMBAL/QTDE. Usa CNPJ do cliente em Dados para Faturamento.
40,GRUPO E.M.O.P. / PARTEKA Excel Flex,EXCEL,1,82,60,PARTEKA|GRUPO E M O P|GRUPO EMOP|E M O P|FLEX,PEDIDOS DO DIA|FORNECEDOR|SPAL INDUSTRIA|LOJA RAZAO SOCIAL|COD BARRAS|COD FORN|EMB|UNIDADE DO PEDIDO|PARTEKA PARQUE,Rastreabilidade Parteka/EMOP Excel Flex; lojas em colunas e SKU em Cod Forn. Sem conversão unidade-caixa.
41,REDE IQUEGAMI Excel Pedido,EXCEL,1,82,60,IQUEGAMI|IKEGAMI|YQUEGAMI,LOJA|REF FORNECEDOR|REF. FORNECEDOR|QTDE|QTD|PEDIDO DE COMPRA|FORNECEDOR|MATRICULA|SKU,Rastreabilidade Iquegami Excel; Loja é matrícula e Ref. Fornecedor é SKU. Sem conversão unidade-caixa.
LAYOUT_GRANCOFFEE_EXCEL,GRANCOFFEE - SPAL EMAIL + ANEXOS,EXCEL,1,0.88,0.70,GRANCOFFEE|GRAN COFFEE|PEDIDO SPAL|SPAL|MATRICULA|DATA DE ENTREGA|QTD FARDO|UNID. POR FARDO,Pedido|Regional|SKU|EAN|Fardo|Unitário,Rastreabilidade dedicada Grancoffee: Excel/anexo + corpo do e-mail. Data oficial sai do corpo do e-mail por matrícula + pedido.
LAYOUT_GRANCOFFEE_MSG,GRANCOFFEE - SPAL EMAIL + ANEXOS,MSG,1,0.88,0.70,GRANCOFFEE|GRAN COFFEE|Pedidos Grancoffee|SPAL|Hortolândia|Sumaré|Curitiba|Porto Alegre|Data de remessa,Matrícula|Pedido|Faturamento|Normal|Bonificado,Rastreabilidade dedicada Grancoffee: Excel/anexo + corpo do e-mail. Data oficial sai do corpo do e-mail por matrícula + pedido.
